iter	Passed	Remaining
0	3237	3234303
1	4693	2342169
2	6019	2000602
3	7126	1774510
4	8114	1614717
5	8853	1466685
6	9479	1344719
7	10109	1253635
8	10780	1187066
9	11515	1139988
10	12146	1092078
11	12735	1048534
12	13416	1018606
13	14142	996031
14	14801	971936
15	15471	951519
16	16218	937817
17	16802	916682
18	17417	899302
19	18011	882546
20	18654	869660
21	19307	858291
22	19873	844208
23	20425	830654
24	21134	824234
25	21784	816085
26	22360	805819
27	22998	798382
28	23544	788337
29	24166	781380
30	24721	772738
31	25331	766284
32	26035	762925
33	26863	763246
34	27612	761321
35	28387	760149
36	29020	755312
37	29608	749563
38	30319	747109
39	31057	745386
40	31683	741083
41	32314	737089
42	32923	732732
43	33544	728829
44	34235	726557
45	34829	722329
46	35535	720534
47	36148	716944
48	36781	713859
49	37323	709137
50	38170	710279
51	38772	706860
52	39483	705482
53	39992	700612
54	40665	698705
55	41347	697002
56	41946	693949
57	42577	691519
58	43410	692366
59	44086	690691
60	44771	689186
61	45422	687196
62	46049	684899
63	46643	682154
64	47283	680150
65	47910	678000
66	48487	675206
67	49156	673739
68	49764	671461
69	50532	671357
70	51169	669523
71	51769	667251
72	52373	665071
73	52930	662351
74	53562	660601
75	54181	658732
76	55200	661693
77	55971	661612
78	56551	659291
79	57213	657952
80	57839	656230
81	58434	654180
82	58985	651679
83	59622	650172
84	60213	648176
85	60865	646876
86	61544	645860
87	62122	643811
88	62646	641244
89	63303	640067
90	63951	638814
91	64591	637486
92	65418	638007
93	66138	637461
94	66830	636645
95	67493	635567
96	68065	633638
97	68582	631238
98	69259	630332
99	69862	628763
100	70367	626337
101	71006	625136
102	71669	624148
103	72337	623216
104	73027	622468
105	73662	621268
106	74439	621255
107	75090	620190
108	75722	618977
109	76357	617798
110	76902	615915
111	77586	615146
112	78263	614332
113	78900	613211
114	79567	612320
115	80260	611640
116	80902	610573
117	81530	609402
118	82811	613083
119	85290	625460
120	86334	627171
121	87753	631538
122	88792	633098
123	89665	633444
124	90996	636977
125	91797	636754
126	92528	636041
127	93392	636236
128	94179	635893
129	94848	634753
130	95871	635973
131	96734	636105
132	97593	636193
133	98250	634965
134	98880	633565
135	99625	632915
136	100276	631667
137	101055	631229
138	101742	630219
139	102414	629116
140	103168	628523
141	103759	626944
142	104493	626230
143	105186	625274
144	105983	624939
145	106727	624284
146	107501	623801
147	108161	622658
148	108844	621653
149	109489	620439
150	110273	620013
151	110964	619066
152	111721	618485
153	112343	617157
154	113019	616139
155	113584	614519
156	114211	613251
157	114905	612342
158	115526	611054
159	116171	609898
160	116849	608923
161	117503	607827
162	118200	606954
163	118874	605969
164	119594	605220
165	120255	604176
166	120922	603164
167	121652	602467
168	122320	601468
169	123035	600703
170	123667	599536
171	124462	599154
172	125192	598463
173	126018	598226
174	126664	597130
175	127531	597080
176	128130	595771
177	128770	594661
178	129462	593790
179	130115	592748
180	130879	592212
181	131636	591641
182	132523	591649
183	133134	590424
184	133835	589598
185	134635	589209
186	135415	588733
187	136111	587885
188	136757	586827
189	137479	586097
190	138208	585397
191	138878	584447
192	140648	588099
193	142338	591363
194	143460	592235
195	144389	592291
196	146838	598534
197	148001	599482
198	148813	598992
199	149519	598076
200	150298	597453
201	151003	596538
202	151711	595636
203	152510	595091
204	153226	594219
205	153988	593527
206	154725	592741
207	155598	592470
208	156364	591790
209	156988	590577
210	157776	589980
211	158414	588824
212	159130	587959
213	159872	587194
214	160673	586646
215	161308	585491
216	162012	584587
217	162691	583601
218	163334	582484
219	163984	581401
220	164666	580431
221	165253	579131
222	165872	577948
223	166772	577747
224	167504	576959
225	168188	576007
226	168791	574784
227	169376	573502
228	170035	572478
229	170676	571395
230	171361	570464
231	172001	569384
232	172721	568571
233	173473	567865
234	174130	566849
235	174813	565921
236	175520	565073
237	176124	563894
238	176778	562879
239	177453	561936
240	178100	560905
241	178799	560042
242	179407	558894
243	180185	558281
244	180807	557182
245	181489	556273
246	182126	555228
247	182795	554282
248	183465	553342
249	184126	552379
250	184684	551108
251	185543	550740
252	186229	549854
253	186994	549205
254	187635	548190
255	188300	547249
256	189080	546640
257	189655	545443
258	190352	544600
259	191018	543668
260	191600	542499
261	192261	541560
262	193256	541558
263	194025	540920
264	194582	539690
265	195210	538663
266	195962	537980
267	196611	537012
268	197604	536983
269	198495	536672
270	199331	536208
271	201278	538715
272	205702	547785
273	208765	553153
274	210325	554494
275	211638	555166
276	213367	556911
277	214407	556842
278	215932	558019
279	217136	558351
280	218965	560270
281	220764	562087
282	222219	563007
283	223835	564318
284	225296	565217
285	226627	565777
286	227972	566356
287	229217	566677
288	230197	566333
289	230962	565459
290	231708	564539
291	232582	563932
292	233419	563233
293	234632	563437
294	235470	562735
295	236456	562382
296	237407	561943
297	238255	561260
298	238961	560240
299	239658	559204
300	240563	558651
301	241454	558064
302	242499	557829
303	243355	557156
304	244029	556066
305	244788	555174
306	245633	554476
307	246506	553840
308	247275	552968
309	248193	552429
310	249143	551960
311	249802	550847
312	250573	549981
313	251323	549069
314	252169	548369
315	253423	548549
316	254188	547666
317	255321	547575
318	256232	547003
319	257192	546534
320	257920	545570
321	258820	544970
322	259493	543892
323	260096	542669
324	260899	541868
325	261992	541666
326	262679	540622
327	263433	539716
328	264112	538661
329	264821	537667
330	265889	537402
331	266515	536241
332	267362	535528
333	268028	534452
334	268737	533463
335	269412	532410
336	270018	531222
337	270731	530248
338	271672	529721
339	273323	530568
340	277208	535719
341	279041	536869
342	280417	537126
343	284613	542752
